"America_1961_JFK" "America_1963_MLK" "America_1964_Reagan" "America_1968_MLK" "England_1940_Churchill" "England_1940_Churchill_1" "England_1946_Churchill" "Japan_1941_Hirohito" "Japan_1945_Hirohito" "Russia_1991_Yeltsin" "Russia_1992_Yeltsin" "Singapore_1977_LKY" "Singapore_1987_LKY" "Singapore_1994_LKY" "Yugoslavia_1988_Milosevic" "Yugoslavia_1989_Milosevic"
"which" 0.518902891030393 0.112994350282486 0.14903129657228 0.132421099095122 1.06851037083595 0.285306704707561 0.987857583864993 0.756143667296786 0.611620795107034 0 0.168444693992139 0.214362272240086 0.63006300630063 0.140056022408964 0.920810313075506 0.435019032082654
"will" 0.518902891030393 1.80790960451977 0.276772407919949 0.286912381372765 0.534255185417976 1.14122681883024 0.452768059271455 0.945179584120983 0.152905198776758 0.478468899521531 0.561482313307131 0.107181136120043 0.18001800180018 0.560224089635854 0.859422958870473 0.435019032082654
"as" 0.44477390659748 0.451977401129944 0.574835001064509 0.375193114102847 0.408548082966688 0.427960057061341 0.349866227618852 0.189035916824197 0.764525993883792 0.239234449760766 0.393037619314992 0.214362272240086 0.36003600360036 0.420168067226891 0.859422958870473 0.870038064165307
"at" 0.22238695329874 0.451977401129944 0.29806259314456 0.308982564555286 0.565681961030798 0.998573466476462 0.535089524593538 0.189035916824197 0.152905198776758 0 0.168444693992139 0.214362272240086 0.81008100810081 0.280112044817927 0.675260896255371 0.65252854812398
"has" 0.22238695329874 0.112994350282486 0.532254630615286 0.132421099095122 0.502828409805154 0.427960057061341 0.329285861288331 1.32325141776938 0.764525993883792 0.717703349282297 0.673778775968557 0.321543408360129 0.27002700270027 0.280112044817927 0.429711479435236 0.706905927134312
"their" 0.148257968865827 0.564971751412429 0.255482222695337 0.154491282277643 0.848522941546197 0 0.411607326610414 0.945179584120983 0.611620795107034 0.239234449760766 0.449185850645705 0.214362272240086 0 0.280112044817927 0.736648250460405 0.815660685154976
"or" 0.518902891030393 0 0.510964445390675 0.308982564555286 0.565681961030798 0.285306704707561 0.699732455237703 0 0.305810397553517 0 0.224592925322852 0.7502679528403 0.18001800180018 0.280112044817927 0.0613873542050338 0.217509516041327
"s" 0.148257968865827 0.225988700564972 0.659995741962955 0.926947693665857 0.125707102451288 0.14265335235378 0.144062564313645 0.56710775047259 0.305810397553517 1.19617224880383 0.505334081976418 0.321543408360129 0.45004500450045 0 0.184162062615101 0.0543773790103317
"been" 0.296515937731653 0.112994350282486 0.255482222695337 0.463473846832929 0.534255185417976 0.570613409415121 0.28812512862729 0.756143667296786 0.458715596330275 1.19617224880383 0.168444693992139 0.428724544480171 0.45004500450045 0.700280112044818 0.429711479435236 0.489396411092985
"there" 0.148257968865827 0.338983050847458 0.553544815839898 0.640035312293092 0.345694531741043 0.14265335235378 0.473348425601976 0.189035916824197 0 0 0.168444693992139 0 0.45004500450045 0.280112044817927 0.245549416820135 0.108754758020663
