"Dostoevsky_BednieLyudi" "Dostoevsky_Besy" "Dostoevsky_PrestuplenieINakazanie" "Dostoevsky_UnijennieIOskorblennie" "Goncharov_Oblomov" "Goncharov_Obryv" "Goncharov_ObyknovennayaIstoriya" "Tolstoy_AnnaKarenina" "Tolstoy_SemeynoeShastye" "Tolstoy_VoinaIMir" "Tolstoy_Voskresenie" "Turgenev_DvoryanskoeGnezdo" "Turgenev_Dym" "Turgenev_OtsyIDeti"
"то" 1.49050844223982 0.974663503368532 1.25180993256379 1.02706268422415 0.726691471785297 0.566816049935451 0.697396601267798 0.686859553014843 0.781843848409165 0.70307484798869 0.865885842657419 0.471708046412702 0.585772374089134 0.597757953451189
"а" 1.0397786893065 0.839636949731135 1.0452901372376 0.987817199542414 1.05712788963961 1.06495346805357 1.23228257477103 0.471325626550311 0.691352662250697 0.380118435383472 0.66886227980254 0.608587613452103 0.783042795603688 0.922981885572049
"его" 0.524658971668416 0.617128403596271 0.685899543695089 0.631267796157283 0.606471718135049 0.585072395102083 0.521971221627904 0.918806264109575 1.03159952220654 0.793416089035711 0.759013282732448 0.985532882683682 0.760900197270421 0.797616235760097
"это" 0.777449203472289 0.669902866461591 0.808773053204807 0.828330229878339 0.607143336870525 0.628539883594066 0.692015454653077 0.756226793716071 0.680493719911681 0.505442113083431 0.705213490661374 0.452755490976478 0.636096461210194 0.71948981631207
"но" 0.381570161213393 0.922364486114611 0.666285931848468 0.791589776133735 0.431179228175749 0.454235254741216 0.439101563761206 0.872974337217692 0.872335034567633 0.540785193413204 0.598340930736403 0.720197106576537 0.758887233785579 0.726757390214212
"к" 0.467423447486407 0.549139681166173 0.531298132668778 0.643792950842943 0.545354413206711 0.638972080832142 0.526276138919681 0.699246560282919 0.45607557823868 0.710107399686961 0.711029684398787 0.671762798239518 0.622005716816297 0.664983012046004
"так" 1.16378899170085 0.562452158285353 0.691668253061743 0.698903631459849 0.544682794471235 0.366865602872332 0.667262180225362 0.479686856456263 0.752886668838455 0.389134527304333 0.577257228438279 0.330616800387474 0.446877893635009 0.416068605897636
"же" 0.558046360774587 0.628539098269853 0.658786609671818 0.605382476473584 0.399613147608366 0.3946847955072 0.467083526157754 0.450887064557985 0.293191443153437 0.351266941236719 0.674678473539954 0.381156948217407 0.460968638028906 0.386998310289068
"ее" 0.121625488886769 0.308564201798135 0.361121206352503 0.689718518023698 0.419761709672653 0.647230903645618 0.400357308135217 0.618111662677018 0.177362724870598 0.338464090709098 0.490741346594255 0.894981784488386 0.599863118483031 0.459674049310489
"вы" 1.09939902699609 0.874819924974683 0.567064130742029 0.545261733982415 0.323048611764074 0.631582607788505 0.577935146420999 0.247430470179828 0.188221667209614 0.217828780807986 0.197750587072055 0.625434329395413 0.738757598937155 0.75582768582278
"было" 0.472193074501574 0.396521639907003 0.453420556218957 0.47094581618083 0.317004043144788 0.276453226809008 0.267981101413089 0.563299155515779 0.770984906070149 0.483082205119698 0.569986986266513 0.332722639880388 0.273763033938564 0.230745471393012
"за" 0.379185347705809 0.460231351834507 0.388811011312439 0.428360290249585 0.486251964484801 0.534215433566464 0.469235984803642 0.380900473493353 0.485032757809389 0.389495170981167 0.511825048892379 0.467496367426875 0.384476025604896 0.450589581932811
"у" 0.755985881904035 0.449296102772323 0.402655913792407 0.542756703045283 0.590352868483619 0.676354120935246 0.574706458452167 0.322681539333393 0.296811090599776 0.271204044979479 0.333704115684093 0.507507317792238 0.406618623938162 0.499645705772271
"по" 0.40541829628923 0.470691155285291 0.446498104978973 0.323984001202415 0.441253509207893 0.405986342515116 0.406814684072882 0.337236272873383 0.358345097187534 0.434395308747052 0.447119893563655 0.541200749678859 0.372398244695841 0.468758516688167
"да" 0.908613946389392 0.311416875466531 0.62763557909189 0.501841197738792 0.553413838032426 0.433805535149985 0.642508905797647 0.271894809534279 0.246136026351033 0.1833873096703 0.287174565784786 0.446437972497736 0.541487177422602 0.501462599247806
"о" 0.243250977773538 0.422195702922564 0.272859953042706 0.307283794954868 0.258573213158354 0.244287285324941 0.391747473551664 0.453674141193302 0.246136026351033 0.416904090420583 0.342428406290214 0.381156948217407 0.356294536817102 0.339759079925144
"все" 0.283792807402461 0.334713710425096 0.230748374666136 0.223782763717132 0.672290354211721 0.59376589280048 0.605917108817547 0.185805109021148 0.152025192746227 0.206829148664536 0.65359477124183 0.570682502579653 0.646161278634406 0.512363960101019
"только" 0.395879042258895 0.379405597896629 0.357083109795845 0.354879382760377 0.392225341518127 0.337307710697784 0.312106503653799 0.349932955323162 0.521229232272777 0.314661608038026 0.453663111518245 0.267441615600059 0.307983413180885 0.328857719071931
"от" 0.403033482781646 0.313318657912128 0.293627306762658 0.38243472306883 0.399613147608366 0.478577048296726 0.414348289333491 0.282423765712145 0.333007565063163 0.356315952712401 0.332977091466917 0.292711689515025 0.265711179999195 0.285252275659078
